Request_ID,Request_Date,Region,Service_Type,Priority,Customer_Type,Technician_ID,Assignment_Time_Min,Travel_Time_Min,Service_Time_Min,Delay_Reason,Spare_Part_Delay_Min,Approval_Delay_Min,Waiting_Time_Min,Total_Resolution_Time_Min,SLA_Time_Min,SLA_Status,Customer_Rating,Service_Status
SR10001,13-04-2025,Hyderabad,Electrical Service,Medium,Business,T113,29.7,20.3,113.4,Scheduling,0,0,19.6,183,270,Within SLA,4.6,Completed
SR10002,12-03-2026,Mumbai,Installation,High,Industrial,T126,39.8,66.8,107,Spare Part,182.9,0,218.4,432,240,Breached,3.8,Completed
SR10003,28-09-2025,Bangalore,Electrical Service,Medium,Industrial,T127,48.4,50.7,99.1,Technician Availability,0,0,28.9,227.1,270,Within SLA,5,Completed
SR10004,17-04-2025,Pune,Electrical Service,High,Residential,T115,56.8,39.3,96.5,Customer Availability,0,0,12.8,205.4,240,Within SLA,4.4,Completed
SR10005,13-03-2025,Pune,Network Support,Medium,Industrial,T117,21.3,47.3,118.6,No Delay,0,0,21.1,208.3,270,Within SLA,4.4,Completed
SR10006,21-01-2025,Bangalore,Equipment Repair,Medium,Business,T109,23.8,71,59.9,Technician Availability,0,0,47.1,201.8,270,Within SLA,5,Completed
SR10007,02-05-2025,Bangalore,Equipment Repair,Medium,Residential,T105,47.7,27.2,80.5,Scheduling,0,0,14.7,170.1,270,Within SLA,4.5,Completed
SR10008,12-04-2026,Mumbai,Equipment Repair,High,Industrial,T127,21.3,41.2,100.3,Spare Part,116.4,0,163.9,326.7,240,Breached,4.2,Completed
SR10009,03-08-2025,Hyderabad,Preventive Maintenance,Low,Business,T123,17.6,18.4,63.2,No Delay,0,0,26.9,126.1,300,Within SLA,5,Completed
SR10010,27-11-2025,Bangalore,Equipment Repair,Low,Industrial,T112,20.9,29,114,Scheduling,0,0,48.6,212.5,300,Within SLA,4.7,Completed
SR10011,04-04-2026,Hyderabad,Network Support,High,Residential,T117,32.4,45,78.7,Approval,0,55.9,82.9,239,240,Within SLA,4.9,Completed
SR10012,29-03-2025,Chennai,Preventive Maintenance,High,Industrial,T111,59.5,71.7,46.7,No Delay,0,0,49.5,227.4,240,Within SLA,4.6,Completed
SR10013,08-01-2026,Pune,Equipment Repair,Low,Business,T111,33.1,62.8,66.9,Spare Part,22.1,0,78.6,241.4,300,Within SLA,5,Completed
SR10014,10-04-2025,Mumbai,Electrical Service,High,Residential,T124,39.1,69.8,113.8,Travel,0,0,38.6,261.3,240,Breached,4.5,Completed
SR10015,11-05-2025,Pune,Network Support,High,Business,T108,17,63.3,53.7,Approval,0,61.2,96.7,230.7,240,Within SLA,4.9,Completed
SR10016,05-11-2025,Mumbai,Network Support,Medium,Residential,T115,51.1,30.8,56.2,Travel,0,0,49.4,187.5,270,Within SLA,4.6,Completed
SR10017,10-12-2025,Chennai,Installation,Medium,Industrial,T125,48.1,83.9,100.6,Technician Availability,0,0,34.1,266.7,270,Within SLA,5,Completed
SR10018,07-05-2026,Pune,Network Support,Medium,Industrial,T102,28,64.8,45.5,Travel,0,0,20.2,158.5,270,Within SLA,4.5,Completed
SR10019,18-02-2026,Chennai,Electrical Service,Medium,Business,T122,24.7,85.9,102,Travel,0,0,17.4,230,270,Within SLA,4.8,Completed
SR10020,21-01-2026,Mumbai,Network Support,High,Industrial,T110,49.4,83.5,23.2,Spare Part,61.9,0,100,256.1,240,Breached,4.4,Completed
SR10021,11-07-2025,Bangalore,Installation,Low,Residential,T121,31.6,48.2,99.3,Scheduling,0,0,28.4,207.5,300,Within SLA,4.5,Completed
SR10022,04-10-2025,Pune,Network Support,Medium,Industrial,T122,25,40.2,82.2,Technician Availability,0,0,39.5,186.9,270,Within SLA,5,Completed
